chemistry,feature,fold,seed,temperature,mae,rmse,source
LFP,G0,DST,5,10.0,2.7096843095545307,4.048328121719493,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,5,20.0,2.28440060180378,3.4620696354078024,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,5,25.0,1.9562618607689013,3.0689444089279463,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,5,30.0,1.777713467506736,2.851548785968338,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,5,40.0,1.5214757241154582,2.3966847798168995,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,5,50.0,1.3683158195428726,2.058900402619644,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,6,-10.0,4.006649552921853,5.399913864537757,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,6,0.0,3.3254442999806475,4.715613531697428,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,6,10.0,2.6924447295438885,3.89679461011262,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,6,20.0,2.222212661814683,3.303277469802769,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,6,25.0,1.9571717245719815,2.959645695029863,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
LFP,G0,DST,6,30.0,1.8133594418488144,2.8285979007933952,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_g0_holdoutdst_s0123456789_b2048_e200_by_temperature.csv
