feature,fold,seed,temperature,mae,rmse
T7,FUDS,0,-10.0,0.8896556407017038,1.1315393649729093
T7,FUDS,0,0.0,0.8618916570070572,1.218165366348868
T7,FUDS,0,10.0,0.7882174391502702,1.0960390285359711
T7,FUDS,0,20.0,0.8444431190211817,1.1483864574099785
T7,FUDS,0,25.0,0.7501725109974966,0.9752546515520192
T7,FUDS,0,30.0,0.9791555123601844,1.299105256910508
T7,FUDS,0,40.0,1.098282224138604,1.4373970443600088
T7,FUDS,0,50.0,1.4138147339313454,1.83505923570384
T7,FUDS,1,-10.0,1.0503181378796016,1.340653909626676
T7,FUDS,1,0.0,0.9362602096962912,1.323006154697251
T7,FUDS,1,10.0,0.7881300382474229,1.0434286811224296
T7,FUDS,1,20.0,1.0303406308216627,1.316685966382612
T7,FUDS,1,25.0,0.737616437291832,1.0000017158073131
T7,FUDS,1,30.0,1.147036203036554,1.4555109153359354
T7,FUDS,1,40.0,1.2636503639378258,1.5583057276008618
T7,FUDS,1,50.0,1.6031978907210105,1.9557776805045124
T7,FUDS,2,-10.0,0.7937231303067251,0.983470958887183
T7,FUDS,2,0.0,0.766289987242316,1.1328294813167263
T7,FUDS,2,10.0,0.8308605427178981,1.1094568837607983
T7,FUDS,2,20.0,0.9038473428701728,1.204736644346324
T7,FUDS,2,25.0,0.961300390072408,1.269348209554049
