fold_holdout,trial_id,selected,objective_training_slice_unweighted_mae_pct,oracle_training_mae_pct,minus5pp_training_mae_pct,minus10pp_training_mae_pct,minus5pp_recovered_fraction,minus10pp_recovered_fraction,diverged_runs,training_profiles,training_files_sha256,n_training_records,n_training_runs,heldout_files_passed_to_selection,heldout_file_count,lambda_min,nis_threshold,nis_ema_beta
DST,66,False,3.1780425867336377,0.1594837629239958,0.9226833745139882,8.451960622762927,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,1.0,0.9
DST,67,False,3.1757121231276955,0.15627006364656762,0.9189077546842992,8.45195855105222,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,1.0,0.99
DST,68,False,3.1754674605024804,0.15495677507462444,0.9194643857676619,8.451981220665157,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,2.0,0.0
DST,69,False,3.176099748762803,0.1546549017397727,0.9216728069058759,8.451971537642759,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,2.0,0.5
DST,70,False,3.1754904118276266,0.15339878036790974,0.9210966927109656,8.451975762404004,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,2.0,0.9
DST,71,False,3.175234628069743,0.15330949475158454,0.9203595946626285,8.452034794795015,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,2.0,0.99
DST,72,False,3.1753427460473787,0.1533498385534482,0.9206874842861075,8.45199091530258,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,4.0,0.0
DST,73,False,3.1753155633796006,0.15334651257955453,0.9206087149657263,8.451991462593524,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,4.0,0.5
DST,74,False,3.1752440723157185,0.15332962806584158,0.9204012127634837,8.45200137611783,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,4.0,0.9
DST,75,False,3.175242220028879,0.15327192327997383,0.9203257719646447,8.452128964842021,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,4.0,0.99
DST,76,False,3.175221508840935,0.1532712348052344,0.9203257518598786,8.452067539857692,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,9.0,0.0
DST,77,False,3.175222804723491,0.15327143847673436,0.9203257622317245,8.452071213462014,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,9.0,0.5
DST,78,False,3.175231418664291,0.15327192238042128,0.9203257719646447,8.452096561647807,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,9.0,0.9
DST,79,False,3.1752434856828002,0.15327192327997383,0.9203257719646447,8.452132761803783,0.875,0.0,0,FUDS+US06,aa74c95e4ccb9756631f45832a3a890c580960f97746cc352518b41520259f9a,16,48,False,8,0.995,9.0,0.99
FUDS,0,False,52.82902176702627,43.92984639239901,44.48975746674027,70.06746144193954,0.5625,0.0625,25,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.9,1.0,0.0
FUDS,1,False,42.73798826079028,43.95576757993585,44.4631135223553,39.795083680079706,0.5625,0.125,20,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.9,1.0,0.5
FUDS,2,False,52.85366787698155,50.12729607781661,44.43541719738735,63.998290355740686,0.5625,0.125,25,DST+US06,bf97c05ba391510312bdd5e67b3a3e39de0f41beffd18fa9435fe5abd5e574be,16,48,False,8,0.9,1.0,0.9
