chemistry,feature,fold,seed,temperature_C,samples_compared,reevaluated_mae_pct,locked_mae_pct,abs_mae_delta_pct,max_abs_prediction_delta_fraction,deterministic_bit_identical,atol,passed,package_path,locked_prediction_path
LFP,T6,FUDS,0,40.0,7529,0.5663075798499342,0.5663075821091779,2.259243681024259e-09,2.979431157346113e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,0,50.0,7565,0.6998257622062471,0.699825759193655,3.0125921757218066e-09,2.9795837352963872e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/0,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed0_sel200_condinv_trainDST25_selected_seed0_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,1,-10.0,5621,1.4694975173778795,1.4694975221490838,4.771204320519473e-09,2.979431157346113e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,1,0.0,6965,0.766810193268406,0.7668102035463029,1.0277896866917047e-08,2.979812618875144e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,1,10.0,7021,0.5832831223888361,0.5832831270901581,4.7013219983682575e-09,2.9737091011838857e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,1,20.0,7249,0.4318322899490502,0.4318322907297559,7.807056667807899e-10,2.980194091506405e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,1,25.0,7323,0.4648674161877248,0.4648674069643588,9.223366015387313e-09,2.9789733901885995e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,1,30.0,7397,0.5026806026487245,0.5026805985534676,4.09525691136281e-09,2.9797363243488917e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,1,40.0,7529,0.6032694673569644,0.603269456235888,1.112107639311688e-08,2.976074220395475e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,1,50.0,7565,0.7391466719758848,0.7391466746596167,2.6837319033745644e-09,2.980117796980153e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/1,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed1_sel200_condinv_trainDST25_selected_seed1_ep200_base_test_prediction_rows.csv.gz
LFP,T6,FUDS,2,-10.0,5621,1.6145348698689035,1.6145349094467176,3.957781413710393e-08,2.9786682120835906e-08,True,1e-06,True,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/t6_plain_downstream_20260804/inference_pkg_lfp/T6/FUDS/2,${SOURCE_WORKSPACE}/DL/CEMA_CARRIER_FAIRNESS_ABLATIONS_20260803/normalhead_auxoff/runs/lfp/nmc_goal_vcorr_it_train_dst_selector_results/normalauxoff_lfp_gru_normal_t6_holdoutfuds_s0123456789_b2048_e200_seed2_sel200_condinv_trainDST25_selected_seed2_ep200_base_test_prediction_rows.csv.gz
