feature,holdout,seed,temperature_C,all8_train_all8_test,core4_train_all8_test,core4_minus_all8_MAE_pct,temperature_scope,gap
T7,DST,0,10.0,0.7136956130673275,0.8511504989958236,0.13745488592849608,unseen,0_to_25_gap
T7,DST,0,20.0,0.6902651251726385,0.7498161241243718,0.059550998951733325,unseen,0_to_25_gap
T7,DST,0,25.0,0.8366865120814918,0.7575983818086514,-0.07908813027284045,seen,seen_temperature
T7,DST,0,30.0,0.7304988489988418,0.7164349850806989,-0.01406386391814285,unseen,25_to_50_gap
T7,DST,0,40.0,1.0165340895264057,0.8455740071090795,-0.1709600824173262,unseen,25_to_50_gap
T7,DST,0,50.0,1.2073752081080698,1.3461852250513964,0.13881001694332662,seen,seen_temperature
T7,DST,1,-10.0,1.236903127763196,1.280714780120704,0.043811652357507835,seen,seen_temperature
T7,DST,1,0.0,1.077937422226151,1.0374339047516148,-0.04050351747453629,seen,seen_temperature
T7,DST,1,10.0,0.7351333217420104,0.9903383499154188,0.2552050281734084,unseen,0_to_25_gap
T7,DST,1,20.0,0.7478626956944956,0.6960420264072381,-0.05182066928725748,unseen,0_to_25_gap
T7,DST,1,25.0,0.9032674151083244,0.8120147105953311,-0.09125270451299328,seen,seen_temperature
T7,DST,1,30.0,0.7832518773575046,0.7889465297966844,0.005694652439179881,unseen,25_to_50_gap
T7,DST,1,40.0,0.9593399993725784,1.0365264164655292,0.07718641709295082,unseen,25_to_50_gap
T7,DST,1,50.0,0.9653534860282996,1.288462209283542,0.3231087232552424,seen,seen_temperature
T7,DST,2,-10.0,0.9405678436658216,1.082907278649331,0.14233943498350943,seen,seen_temperature
T7,DST,2,0.0,0.7130587874744057,0.9741766380238008,0.2611178505493952,seen,seen_temperature
T7,DST,2,10.0,0.65985462299673,1.311024685635741,0.651170062639011,unseen,0_to_25_gap
T7,DST,2,20.0,0.8653817966946038,0.9853289283140324,0.1199471316194286,unseen,0_to_25_gap
T7,DST,2,25.0,0.8167131055588768,1.1370548102223397,0.3203417046634629,seen,seen_temperature
T7,DST,2,30.0,0.8019020231275594,1.0372882766114602,0.23538625348390074,unseen,25_to_50_gap
T7,DST,2,40.0,1.0262964141518744,1.259728970037081,0.23343255588520662,unseen,25_to_50_gap
T7,DST,2,50.0,1.113560339605495,1.7719296724186984,0.6583693328132034,seen,seen_temperature
T7,FUDS,0,-10.0,0.8393082875752444,1.0173912469103463,0.17808295933510188,seen,seen_temperature
T7,FUDS,0,0.0,0.7859898049970026,0.9449220734881738,0.15893226849117126,seen,seen_temperature
T7,FUDS,0,10.0,0.79007986145063,1.2495189357595111,0.4594390743088811,unseen,0_to_25_gap
T7,FUDS,0,20.0,0.7313921034196308,1.360803264505305,0.6294111610856742,unseen,0_to_25_gap
T7,FUDS,0,25.0,0.7820639375225371,1.0678479372925989,0.28578399977006175,seen,seen_temperature
T7,FUDS,0,30.0,0.7734107829371513,1.435573332790299,0.6621625498531478,unseen,25_to_50_gap
T7,FUDS,0,40.0,0.8384134842589772,1.5969910142209238,0.7585775299619466,unseen,25_to_50_gap
T7,FUDS,0,50.0,1.0954324165402227,1.8400753946865307,0.744642978146308,seen,seen_temperature
T7,FUDS,1,-10.0,1.0385261356480668,1.0195321702507547,-0.01899396539731213,seen,seen_temperature
T7,FUDS,1,0.0,0.915256945759978,1.0289682438282854,0.11371129806830749,seen,seen_temperature
T7,FUDS,1,10.0,0.8002093809144378,1.4967196993874683,0.6965103184730305,unseen,0_to_25_gap
T7,FUDS,1,20.0,1.0252399886290868,1.1513118958338358,0.12607190720474892,unseen,0_to_25_gap
T7,FUDS,1,25.0,0.7405508122905818,0.9739967345149566,0.23344592222437477,seen,seen_temperature
T7,FUDS,1,30.0,1.1293977067907937,1.2644049926949656,0.135007285904172,unseen,25_to_50_gap
T7,FUDS,1,40.0,1.2119077246001335,1.3366554945267946,0.12474776992666103,unseen,25_to_50_gap
T7,FUDS,1,50.0,1.5382318266637265,1.3411347045066415,-0.19709712215708497,seen,seen_temperature
T7,FUDS,2,-10.0,0.8180651200706266,0.9134068647709378,0.0953417447003112,seen,seen_temperature
T7,FUDS,2,0.0,0.7821039364479979,1.018149584039714,0.23604564759171598,seen,seen_temperature
T7,FUDS,2,10.0,0.840831499054907,1.5136924399183171,0.6728609408634102,unseen,0_to_25_gap
T7,FUDS,2,20.0,0.9115248042840862,1.2884314922912152,0.376906688007129,unseen,0_to_25_gap
T7,FUDS,2,25.0,0.967866469647216,1.1311570266125617,0.16329055696534567,seen,seen_temperature
T7,FUDS,2,30.0,1.0851396746581932,1.3513910652770211,0.26625139061882797,unseen,25_to_50_gap
T7,FUDS,2,40.0,1.0389150036079569,1.4144967761009966,0.3755817724930397,unseen,25_to_50_gap
T7,FUDS,2,50.0,1.2824335771133313,1.566247416897791,0.2838138397844596,seen,seen_temperature
T7,US06,0,-10.0,0.6053568938773969,0.6697260868523386,0.0643691929749417,seen,seen_temperature
T7,US06,0,0.0,1.256927405177763,1.4285270395973455,0.17159963441958248,seen,seen_temperature
T7,US06,0,10.0,0.9563829527756108,1.486666489271241,0.5302835364956301,unseen,0_to_25_gap
T7,US06,0,20.0,1.1471785051245849,1.3343388467900923,0.18716034166550743,unseen,0_to_25_gap
