chemistry,feature,fold,seed,temperature_C,mae_torch_pct,mae_onnx_pct
LFP,T6,US06,0,-10,2.117362893348314,2.1173628797776662
LFP,T6,US06,0,0,0.9259342876245807,0.925934518528041
LFP,T6,US06,0,10,0.6893038721946932,0.689304176497803
LFP,T6,US06,0,20,0.4449795307103249,0.44497923340507206
LFP,T6,US06,0,25,0.3032081870988074,0.3032074221416146
LFP,T6,US06,0,30,0.29575082072301356,0.2957504481939837
LFP,T6,US06,0,40,0.3787711742002,0.37877109150348093
LFP,T6,US06,0,50,0.5432690148322091,0.5432689769039795
LFP,T6,US06,1,-10,1.8753302880506688,1.8753303423332597
LFP,T6,US06,1,0,0.8733493299552638,0.8733495227333598
LFP,T6,US06,1,10,0.6613998921504324,0.6613998645167196
LFP,T6,US06,1,20,0.4864225323770755,0.48642224181639837
LFP,T6,US06,1,25,0.3115083512587141,0.3115078810675428
LFP,T6,US06,1,30,0.32213229222638584,0.322132107863896
LFP,T6,US06,1,40,0.29812069588088014,0.2981204507835565
LFP,T6,US06,1,50,0.3395947819143677,0.3395944852156217
LFP,T6,US06,2,-10,2.201328820720751,2.201328597100078
LFP,T6,US06,2,0,0.930717232037712,0.9307170328057924
LFP,T6,US06,2,10,0.610985941636944,0.6109855583091688
LFP,T6,US06,2,20,0.43218282363154764,0.43218235243590075
LFP,T6,US06,2,25,0.30728594817410065,0.3072852851932244
LFP,T6,US06,2,30,0.3254528199352161,0.32545233580285393
LFP,T6,US06,2,40,0.35779045911573487,0.3577901457608018
LFP,T6,US06,2,50,0.455675472755835,0.4556754007471671
LFP,T7,DST,0,-10,1.0712740574981985,1.0712741616782366
LFP,T7,DST,0,0,0.7376636435317482,0.7376637308702886
LFP,T7,DST,0,10,0.6932731861780767,0.6932733027953992
LFP,T7,DST,0,20,0.774722596048525,0.7747227328581935
LFP,T7,DST,0,25,0.9195999511368976,0.9196000649468322
LFP,T7,DST,0,30,0.8986354869114036,0.8986356700761302
LFP,T7,DST,0,40,1.1171726007722973,1.1171725750372243
LFP,T7,DST,0,50,1.3292347216944829,1.3292345653227222
LFP,T7,DST,1,-10,0.958355634094909,0.9583555612258112
LFP,T7,DST,1,0,0.7650771443490616,0.7650769407452778
LFP,T7,DST,1,10,0.7083732747669902,0.7083733138160437
LFP,T7,DST,1,20,0.732528041751923,0.7325281410724557
LFP,T7,DST,1,25,0.7715865264318473,0.7715866712646597
LFP,T7,DST,1,30,0.8549915507621544,0.8549916381610635
LFP,T7,DST,1,40,0.9605321051242072,0.9605321000376272
LFP,T7,DST,1,50,1.0763591415067035,1.0763591077705952
LFP,T7,DST,2,-10,1.0002586965655038,1.0002584665724141
LFP,T7,DST,2,0,0.7917175918988648,0.7917176432744768
LFP,T7,DST,2,10,0.6543450601241573,0.6543452009020883
LFP,T7,DST,2,20,0.7947844364307831,0.7947844628785983
LFP,T7,DST,2,25,0.8540470045963753,0.8540471402673863
LFP,T7,DST,2,30,0.843729919121385,0.8437300235817304
LFP,T7,DST,2,40,1.0438671246709619,1.0438672592387013
LFP,T7,DST,2,50,1.1973779293540476,1.1973779143071908
LFP,T7,FUDS,0,-10,0.9697507765095166,0.9697504780091161
LFP,T7,FUDS,0,0,0.8188461411882597,0.8188460121803601
LFP,T7,FUDS,0,10,0.7346631940693702,0.7346630630130102
LFP,T7,FUDS,0,20,0.567028180323795,0.5670278499348954
LFP,T7,FUDS,0,25,0.6025996385301876,0.6025994996520978
LFP,T7,FUDS,0,30,0.6280636586908123,0.6280635704059144
LFP,T7,FUDS,0,40,0.7006294191003898,0.7006295171681992
LFP,T7,FUDS,0,50,0.7740089365952061,0.7740089869961925
LFP,T7,FUDS,1,-10,0.9665222731720571,0.966521924833224
LFP,T7,FUDS,1,0,0.7901621388414878,0.7901619975318399
LFP,T7,FUDS,1,10,0.803279439651605,0.8032793231334809
