chemistry,method,init_condition,precision,fold,temperature_C,mae_pct,rmse_pct,n_points,status,reason
LFP,cc,oracle,fp32,FUDS,50,0.0855883234028987,MISSING_not_recorded,7565,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,FUDS,-10,0.1093243413582952,MISSING_not_recorded,5621,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,FUDS,0,0.3886753676223787,MISSING_not_recorded,6965,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,FUDS,10,0.3328022082373609,MISSING_not_recorded,7021,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,FUDS,20,0.3096982598545849,MISSING_not_recorded,7249,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,FUDS,25,0.3362560336395749,MISSING_not_recorded,7323,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,FUDS,30,0.2156746822928787,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,FUDS,40,0.4096070252596625,MISSING_not_recorded,7529,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,hysteresis_2rc_ekf,oracle,fp64,FUDS,50,0.1649005904144116,MISSING_not_recorded,7565,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,FUDS,-10,0.7385712018318876,MISSING_not_recorded,5621,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,FUDS,0,25.339525622996423,MISSING_not_recorded,6965,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,FUDS,10,27.9289141682456,MISSING_not_recorded,7021,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,FUDS,20,7.835676172579905,MISSING_not_recorded,7249,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,FUDS,25,5.675092493957619,MISSING_not_recorded,7323,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,FUDS,30,5.579256362666179,MISSING_not_recorded,7397,PASS,actual MCU precision; no precision relabeling or mixed aggregation
LFP,2rc_ukf,oracle,fp64,FUDS,40,2.329230499715197,MISSING_not_recorded,7529,PASS,actual MCU precision; no precision relabeling or mixed aggregation
