model,source_weights_sha256,path_step_index,step_tool,step_version,artifact_file,artifact_sha256,rewrites_applied
nmc_t6_us06_s1,95afca8f267fb84b048357d6a145bcad03fa9ff917ea45d8b339b2fb979e81f6,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_us06_s1/source_weights.pt,95afca8f267fb84b048357d6a145bcad03fa9ff917ea45d8b339b2fb979e81f6,none
nmc_t6_us06_s1,95afca8f267fb84b048357d6a145bcad03fa9ff917ea45d8b339b2fb979e81f6,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_us06_s1/model_static.onnx,afb6067001791cd3a86204039aed29b3273bb1a1d9626bd55939047d9e0b0593,none
nmc_t6_us06_s1,95afca8f267fb84b048357d6a145bcad03fa9ff917ea45d8b339b2fb979e81f6,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_us06_s1/cema_data.c,d6abe633f31328746f7cc3fdb4e5a29c64c90de4219442a518ee9ef34e86a7dd,none
nmc_t6_us06_s1,95afca8f267fb84b048357d6a145bcad03fa9ff917ea45d8b339b2fb979e81f6,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_us06_s1/cema_h563_bench.elf,28487dbd10447cecf3863b2030c45aa3f1baa24c99b628a02fd83ea2674fd440,none
nmc_t6_us06_s2,0702710f0aaa0c35ee44d86ba1371abb5f9adf27614188d954e145848db2b674,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/nmc_t6_us06_s2/source_weights.pt,0702710f0aaa0c35ee44d86ba1371abb5f9adf27614188d954e145848db2b674,none
nmc_t6_us06_s2,0702710f0aaa0c35ee44d86ba1371abb5f9adf27614188d954e145848db2b674,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/nmc_t6_us06_s2/model_static.onnx,dfa97c90c8baa1d7b648b4b86b362236d3c889b2276abea4a7ab35b29aa8e480,none
nmc_t6_us06_s2,0702710f0aaa0c35ee44d86ba1371abb5f9adf27614188d954e145848db2b674,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/nmc_t6_us06_s2/cema_data.c,928a8adfc88e63c7a47c7565d5c43a3c6adba1999773d5adbed6db7ed9bd52e5,none
nmc_t6_us06_s2,0702710f0aaa0c35ee44d86ba1371abb5f9adf27614188d954e145848db2b674,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/nmc_t6_us06_s2/cema_h563_bench.elf,c7d5e7f6fb4fbfe83f52ba212fb86e827ca39643ac85b25912ebdf32b4f3e8fd,none
lfp_g4_dst_s0,11974da04407f1bcc570de446305d15040bfde0f1686a7b50c6a8236ad7f078a,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_dst_s0/source_weights.pt,11974da04407f1bcc570de446305d15040bfde0f1686a7b50c6a8236ad7f078a,none
lfp_g4_dst_s0,11974da04407f1bcc570de446305d15040bfde0f1686a7b50c6a8236ad7f078a,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_dst_s0/model_static.onnx,fecaf1bf7588af8ce6763c626f16457ec503d9d5bacba350c1d8eb1c6295a56e,none
lfp_g4_dst_s0,11974da04407f1bcc570de446305d15040bfde0f1686a7b50c6a8236ad7f078a,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_dst_s0/cema_data.c,68882cc62c82e496c80107525476de3aa5f0bf83ce849ae457ec9b0c5a58395a,none
lfp_g4_dst_s0,11974da04407f1bcc570de446305d15040bfde0f1686a7b50c6a8236ad7f078a,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_dst_s0/cema_h563_bench.elf,08d10d9a56d9679479840b330aec567f98cec0d5a9864f766877d342254e7205,none
lfp_g4_dst_s1,8c8c6b51ad4a1cbb2bbf39022457e40e910a816136b18d40976da5fb68c371f7,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_dst_s1/source_weights.pt,8c8c6b51ad4a1cbb2bbf39022457e40e910a816136b18d40976da5fb68c371f7,none
lfp_g4_dst_s1,8c8c6b51ad4a1cbb2bbf39022457e40e910a816136b18d40976da5fb68c371f7,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_dst_s1/model_static.onnx,eb8e76b6e235bb840673acb01a719603b19caee144d4f5386088042c901f7069,none
lfp_g4_dst_s1,8c8c6b51ad4a1cbb2bbf39022457e40e910a816136b18d40976da5fb68c371f7,2,ST Edge AI generate --optimization time --compression lossless,ST Edge AI Core 4.0.1 / STM32CubeAI 12.0.1-RC2,evidence/conversion/lfp_g4_dst_s1/cema_data.c,a77dd8b2e2913743c83de27153dcbd3f3aafc92661009666ee751f6b243cbe36,none
lfp_g4_dst_s1,8c8c6b51ad4a1cbb2bbf39022457e40e910a816136b18d40976da5fb68c371f7,3,GNU Arm link -Os hard-float,arm-none-eabi-gcc 14.3.1,evidence/conversion/lfp_g4_dst_s1/cema_h563_bench.elf,5d4f05d6b628ba0bf405ad732982d9816585cdf0122a7b1584215df006b468be,none
lfp_g4_dst_s2,0fe85b6f4f6248ce6cc10fabb8717906716109ef3fb9cd4bfcfd14fd7cf37c6e,0,frozen PyTorch checkpoint,torch 2.9.1,evidence/conversion/lfp_g4_dst_s2/source_weights.pt,0fe85b6f4f6248ce6cc10fabb8717906716109ef3fb9cd4bfcfd14fd7cf37c6e,none
lfp_g4_dst_s2,0fe85b6f4f6248ce6cc10fabb8717906716109ef3fb9cd4bfcfd14fd7cf37c6e,1,ONNX export opset 17,onnx 1.22.0,evidence/conversion/lfp_g4_dst_s2/model_static.onnx,52bc84cae1d2e0bb034bc2b32a4863ed4c748f3cafd2f74cb159900aed34ab22,none
