chemistry,feature,fold,seed,record_file,precision,n_compared,max_abs_diff_pct,mean_abs_diff_pct,p99_abs_diff_pct,max_diff_index,status
LFP,T6,FUDS,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,1.1920928966180355e-05,3.5220926493510647e-06,1.1920928963848887e-05,66,PASS_partial_record_22_outputs
LFP,T6,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,fp32,22,1.1920928955078123e-05,5.147673867470201e-06,1.1920928955078123e-05,59,PASS_partial_record_22_outputs
LFP,T6,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,fp32,22,1.1920928955078123e-05,4.605813461430489e-06,1.1920928955078123e-05,63,PASS_partial_record_22_outputs
LFP,T6,FUDS,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,1.1920928966180355e-05,5.689534276033147e-06,1.1920928966180355e-05,52,PASS_partial_record_22_outputs
LFP,T6,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_FUDS.csv,fp32,22,1.1920928966180355e-05,4.06395305640007e-06,1.1920928966180355e-05,50,PASS_partial_record_22_outputs
LFP,T6,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_FUDS.csv,fp32,22,5.960464488641293e-06,1.6255812261934856e-06,5.960464488641293e-06,49,PASS_partial_record_22_outputs
LFP,T6,FUDS,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_FUDS.csv,fp32,22,1.1920928955078123e-05,2.980232242806706e-06,1.0669231417126383e-05,56,PASS_partial_record_22_outputs
LFP,T6,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,1.1920928955078123e-05,4.063953054381483e-06,1.1920928955078123e-05,67,PASS_partial_record_22_outputs
LFP,T6,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,5.960464488641293e-06,2.9802322417974123e-06,5.960464488641293e-06,50,PASS_partial_record_22_outputs
LFP,T6,US06,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,5.960464488641293e-06,3.5220926503603582e-06,5.960464488641293e-06,56,PASS_partial_record_22_outputs
LFP,T6,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,5.960464488641293e-06,2.980232242302059e-06,5.960464488641293e-06,51,PASS_partial_record_22_outputs
LFP,T6,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,1.1920928966180355e-05,3.2511624448172682e-06,1.0669231425897147e-05,64,PASS_partial_record_22_outputs
LFP,T6,US06,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,1.1920928955078123e-05,3.79302285085698e-06,1.1920928955078123e-05,63,PASS_partial_record_22_outputs
LFP,T6,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_US06.csv,fp32,22,5.960464488641293e-06,3.2511624412847406e-06,5.960464486309824e-06,49,PASS_partial_record_22_outputs
LFP,T6,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_US06.csv,fp32,22,5.960464488641293e-06,3.2511624427986807e-06,5.960464488641293e-06,55,PASS_partial_record_22_outputs
LFP,T6,US06,2,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_US06.csv,fp32,22,1.1920928955078123e-05,3.522092647837124e-06,1.0669231417126383e-05,60,PASS_partial_record_22_outputs
LFP,T7,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.1920928955078123e-05,3.793022851361627e-06,1.1920928955078123e-05,68,PASS_partial_record_22_outputs
LFP,T7,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/25C/LFP_25C_DST.csv,fp32,22,5.960464488641293e-06,2.709302036758969e-06,5.960464488641293e-06,51,PASS_partial_record_22_outputs
LFP,T7,DST,0,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/50C/LFP_50C_DST.csv,fp32,22,1.1920928966180355e-05,3.2511624453219152e-06,1.0669231425897147e-05,54,PASS_partial_record_22_outputs
LFP,T7,DST,1,/home/user/바탕화면/DL/CEMA_SOC_REVIEW_DEFENSE_C/c1_baselines/prepared_data_ocv_discharge_soc/-10C/LFP_-10C_DST.csv,fp32,22,1.1920928966180355e-05,4.334883258410633e-06,1.1920928966180355e-05,53,PASS_partial_record_22_outputs
