chemistry,feature,fold,seed,temperature,mae,rmse,aux_config,source
LFP,T6,US06,0,10.0,0.7896340972551075,0.9137049457083504,aux_all_off,new_retraining
LFP,T6,US06,0,20.0,0.5417171612780083,0.6348862048222431,aux_all_off,new_retraining
LFP,T6,US06,0,25.0,0.3336356289482006,0.4163454493440542,aux_all_off,new_retraining
LFP,T6,US06,0,30.0,0.3261719232803623,0.4162581552896716,aux_all_off,new_retraining
LFP,T6,US06,0,40.0,0.2377155408462728,0.3325410020760442,aux_all_off,new_retraining
LFP,T6,US06,0,50.0,0.3064023235529041,0.3906833505658759,aux_all_off,new_retraining
LFP,T6,US06,1,-10.0,2.127393300734848,2.3106516427074864,aux_all_off,new_retraining
LFP,T6,US06,1,0.0,0.8461771923110468,0.9114445137145192,aux_all_off,new_retraining
LFP,T6,US06,1,10.0,0.57637778330792,0.683706503084283,aux_all_off,new_retraining
LFP,T6,US06,1,20.0,0.3937167849118108,0.4852501319184055,aux_all_off,new_retraining
LFP,T6,US06,1,25.0,0.2884728030517878,0.3647000323083623,aux_all_off,new_retraining
LFP,T6,US06,1,30.0,0.2768994337806389,0.3712664121459426,aux_all_off,new_retraining
LFP,T6,US06,1,40.0,0.2990666806823859,0.4045561556168111,aux_all_off,new_retraining
LFP,T6,US06,1,50.0,0.4062984417233995,0.5212577019853121,aux_all_off,new_retraining
LFP,T6,US06,2,-10.0,2.042255088188369,2.248182405367942,aux_all_off,new_retraining
LFP,T6,US06,2,0.0,0.7908128108739624,0.90902610447141,aux_all_off,new_retraining
LFP,T6,US06,2,10.0,0.5579417503587165,0.6990687885738281,aux_all_off,new_retraining
LFP,T6,US06,2,20.0,0.3738478807345465,0.4750964277806815,aux_all_off,new_retraining
LFP,T6,US06,2,25.0,0.2888841337735209,0.3806822334697642,aux_all_off,new_retraining
LFP,T6,US06,2,30.0,0.2746229324000663,0.3740214635694239,aux_all_off,new_retraining
LFP,T6,US06,2,40.0,0.3032822429167712,0.4057293534494449,aux_all_off,new_retraining
LFP,T6,US06,2,50.0,0.3924128311011414,0.4940112581158036,aux_all_off,new_retraining
LFP,G4,DST,0,-10.0,0.7101382863100301,0.8404328611957066,aux_on_locked_reference,locked_existing_result
LFP,G4,DST,0,0.0,0.451089123917598,0.5365248880846006,aux_on_locked_reference,locked_existing_result
LFP,G4,DST,0,10.0,0.394598075563954,0.494957651391461,aux_on_locked_reference,locked_existing_result
LFP,G4,DST,0,20.0,0.4296808687162228,0.5376787488209469,aux_on_locked_reference,locked_existing_result
LFP,G4,DST,0,25.0,0.4096516642288393,0.5074579021910189,aux_on_locked_reference,locked_existing_result
LFP,G4,DST,0,30.0,0.4927365258265503,0.5935618911264914,aux_on_locked_reference,locked_existing_result
