chemistry,holdout,temperature_C,seed,record,reset_index,reset_soc_true,reset_band,elapsed_s,abs_err_pct
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,60,16.012082501029965
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,120,16.140535186866757
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,300,14.779594997825619
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,600,10.550212883071893
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,900,7.83797690174103
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,1200,3.561687052246093
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,1800,2.2754132031326293
LFP,DST,-10.0,2,LFP_-10C_DST.csv,2765,63.603370000000005,35to65,2400,0.15062946002197108
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,30,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,60,6.710794907371522
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,120,7.388392080528263
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,300,7.147538385192867
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,600,3.7859090438461322
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,900,1.8202363587112416
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,1200,0.5873945039138775
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,1800,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,3826,50.008553,35to65,2400,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,30,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,60,6.491568602340699
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,120,6.165006021461487
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,300,2.284127193267821
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,600,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,900,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,1200,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,1800,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,4773,37.017151999999996,35to65,2400,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,30,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,60,3.02288263244629
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,120,3.1859923922348017
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,300,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,600,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,900,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,1200,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,1800,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5027,32.94816,le35,2400,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,30,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,60,1.0219894339752145
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,120,0.6755019460678078
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,300,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,600,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,900,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,1200,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,1800,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5054,32.94831,le35,2400,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,0,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,30,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,60,3.2971080019378647
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,120,2.447995464630125
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,300,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,600,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,900,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,1200,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,1800,
LFP,DST,-10.0,2,LFP_-10C_DST.csv,5110,32.393699999999995,le35,2400,
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,0,
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,30,
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,60,31.273162769607538
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,120,27.15444477905274
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,300,23.25757737585448
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,600,19.30565842247009
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,900,15.340102730865482
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,1200,12.814539802856444
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,1800,8.943801967620843
LFP,DST,0.0,0,LFP_0C_DST.csv,256,96.336776,gt65,2400,7.097002719955441
LFP,DST,0.0,0,LFP_0C_DST.csv,387,95.06139999999999,gt65,0,
LFP,DST,0.0,0,LFP_0C_DST.csv,387,95.06139999999999,gt65,30,
LFP,DST,0.0,0,LFP_0C_DST.csv,387,95.06139999999999,gt65,60,14.811473752792352
LFP,DST,0.0,0,LFP_0C_DST.csv,387,95.06139999999999,gt65,120,14.465123855621343
LFP,DST,0.0,0,LFP_0C_DST.csv,387,95.06139999999999,gt65,300,12.656520731811526
LFP,DST,0.0,0,LFP_0C_DST.csv,387,95.06139999999999,gt65,600,10.888812969665523
LFP,DST,0.0,0,LFP_0C_DST.csv,387,95.06139999999999,gt65,900,9.30196093070984
LFP,DST,0.0,0,LFP_0C_DST.csv,387,95.06139999999999,gt65,1200,8.524870786102284
