chemistry,holdout,temperature_C,seed,record,reset_index,reset_soc_true,reset_band,time_to_1pct_s,recovered
LFP,DST,50.0,2,LFP_50C_DST.csv,5269,32.158592000000006,le35,445.13259800000014,True
LFP,DST,50.0,2,LFP_50C_DST.csv,6825,10.768914,le35,48.75462999999945,True
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,117,98.43499,gt65,2837.2239499999996,True
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,346,93.71119999999999,gt65,2782.9632699999997,True
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,377,92.4965,gt65,2754.8631700000005,True
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,3351,54.688853,35to65,690.1579899999997,True
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,3709,50.396339999999995,35to65,,False
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,4639,37.751552,35to65,,False
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,5119,32.501560000000005,le35,,False
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,5230,31.466696,le35,,False
LFP,FUDS,-10.0,0,LFP_-10C_FUDS.csv,5566,28.224050000000002,le35,,False
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,117,98.43499,gt65,2993.59634,True
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,346,93.71119999999999,gt65,2778.953229999999,True
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,377,92.4965,gt65,2753.8631700000005,True
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,3351,54.688853,35to65,840.3512999999948,True
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,3709,50.396339999999995,35to65,,False
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,4639,37.751552,35to65,,False
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,5119,32.501560000000005,le35,,False
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,5230,31.466696,le35,,False
LFP,FUDS,-10.0,1,LFP_-10C_FUDS.csv,5566,28.224050000000002,le35,,False
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,117,98.43499,gt65,2745.0818400000026,True
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,346,93.71119999999999,gt65,2767.9331500000008,True
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,377,92.4965,gt65,2751.8531499999985,True
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,3351,54.688853,35to65,692.1680199999973,True
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,3709,50.396339999999995,35to65,,False
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,4639,37.751552,35to65,,False
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,5119,32.501560000000005,le35,,False
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,5230,31.466696,le35,,False
LFP,FUDS,-10.0,2,LFP_-10C_FUDS.csv,5566,28.224050000000002,le35,,False
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,1141,84.172016,gt65,2782.7692400000014,True
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,2059,71.80508,gt65,1862.108519999998,True
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,2345,67.84964,gt65,2117.773259999999,True
LFP,FUDS,0.0,0,LFP_0C_FUDS.csv,4161,46.465454,35to65,49.17152999999962,True
