model,precision,window_index,repeat_index,cycles,clock_hz
nmc_t6plain_dst_s0,fp32,14,5,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,6,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,7,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,8,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,9,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,10,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,11,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,12,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,13,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,14,47660365,250000000
nmc_t6plain_dst_s0,fp32,14,15,47660365,250000000
nmc_t6plain_dst_s0,fp32,15,0,47683951,250000000
nmc_t6plain_dst_s0,fp32,15,1,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,2,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,3,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,4,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,5,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,6,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,7,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,8,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,9,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,10,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,11,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,12,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,13,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,14,47683898,250000000
nmc_t6plain_dst_s0,fp32,15,15,47683898,250000000
nmc_t6plain_dst_s0,fp32,16,0,47680154,250000000
nmc_t6plain_dst_s0,fp32,16,1,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,2,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,3,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,4,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,5,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,6,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,7,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,8,47680101,250000000
nmc_t6plain_dst_s0,fp32,16,9,47680101,250000000
