model,precision,sample_index,repeat_index,total_cycles,network_cycles,preprocessing_window_cycles,clock_hz
nmc_t6plain_dst_s0,fp32,406,347,47957778,47934703,23075,250000000
nmc_t6plain_dst_s0,fp32,407,348,47957504,47934429,23075,250000000
nmc_t6plain_dst_s0,fp32,408,349,47957411,47934336,23075,250000000
nmc_t6plain_dst_s0,fp32,409,350,47957096,47934021,23075,250000000
nmc_t6plain_dst_s0,fp32,410,351,47957021,47933946,23075,250000000
nmc_t6plain_dst_s0,fp32,411,352,47956798,47933723,23075,250000000
nmc_t6plain_dst_s0,fp32,412,353,47956862,47933798,23064,250000000
nmc_t6plain_dst_s0,fp32,413,354,47957125,47934061,23064,250000000
nmc_t6plain_dst_s0,fp32,414,355,47957352,47934288,23064,250000000
nmc_t6plain_dst_s0,fp32,415,356,47957533,47934469,23064,250000000
nmc_t6plain_dst_s0,fp32,416,357,47957607,47934543,23064,250000000
nmc_t6plain_dst_s0,fp32,417,358,47957828,47934764,23064,250000000
nmc_t6plain_dst_s0,fp32,418,359,47958059,47934995,23064,250000000
nmc_t6plain_dst_s0,fp32,419,360,47958027,47934963,23064,250000000
nmc_t6plain_dst_s0,fp32,420,361,47958018,47934944,23074,250000000
nmc_t6plain_dst_s0,fp32,421,362,47958163,47935088,23075,250000000
