feature,fold,seed,temp,reset_trial,reset_index,time_to_recover_within_1pct_s,recovered,observation_horizon_s
T6_plain,FUDS,2,40.0,0,1751,2753.7251399999986,True,5843.208059999999
T6_plain,FUDS,2,40.0,1,2105,2777.9289800000006,True,5488.05262
T6_plain,FUDS,2,40.0,2,4181,1572.7103900000002,True,3405.53795
T6_plain,FUDS,2,40.0,3,4810,1027.701049999996,True,2774.3366499999984
T6_plain,FUDS,2,40.0,4,5781,1288.7067799999932,True,1800.7858999999971
T6_plain,FUDS,2,50.0,0,1394,3111.5920399999995,True,6240.925609999998
T6_plain,FUDS,2,50.0,1,2503,3253.7634800000014,True,5127.497929999998
T6_plain,FUDS,2,50.0,2,4205,1589.0429999999988,True,3419.613209999997
T6_plain,FUDS,2,50.0,3,5633,1427.0347299999994,True,1986.2704599999997
T6_plain,FUDS,2,50.0,4,6790,322.2621399999989,True,824.294879999994
T6_plain,US06,0,-10.0,0,1321,,False,3784.00417
T6_plain,US06,0,-10.0,1,1862,,False,3242.2417800000003
T6_plain,US06,0,-10.0,2,2373,,False,2729.605099999997
T6_plain,US06,0,-10.0,3,3601,49.150389999998424,True,1500.3247799999986
T6_plain,US06,0,-10.0,4,4101,,False,998.9382699999987
T6_plain,US06,0,0.0,0,1595,3507.603500000001,True,4708.136350000001
T6_plain,US06,0,0.0,1,2367,2732.737060000003,True,3933.2699100000027
T6_plain,US06,0,0.0,2,2746,2352.770480000003,True,3553.3033300000025
T6_plain,US06,0,0.0,3,3949,1744.7441900000008,True,2344.2542100000023
T6_plain,US06,0,0.0,4,5209,1076.4068000000007,True,1077.9371100000026
T6_plain,US06,0,10.0,0,1686,3381.6042000000016,True,5103.13537
T6_plain,US06,0,10.0,1,2154,2945.38389,True,4633.8096799999985
T6_plain,US06,0,10.0,2,3126,1850.2587300000014,True,3659.0757300000005
T6_plain,US06,0,10.0,3,4782,1035.6850300000006,True,1998.6225099999974
T6_plain,US06,0,10.0,4,5656,690.2866700000004,True,1122.5597599999992
T6_plain,US06,0,20.0,0,693,4227.14603,True,6215.84186
T6_plain,US06,0,20.0,1,2182,2921.916410000002,True,4722.991950000003
T6_plain,US06,0,20.0,2,3165,2152.28385,True,3738.6341600000014
T6_plain,US06,0,20.0,3,5014,1258.0735399999976,True,1886.34634
T6_plain,US06,0,20.0,4,5604,1047.4091200000012,True,1294.393640000002
T6_plain,US06,0,25.0,0,1651,3079.279480000001,True,5322.142530000001
T6_plain,US06,0,25.0,1,2778,2320.515319999999,True,4191.43146
T6_plain,US06,0,25.0,2,3189,2096.451580000001,True,3779.42829
T6_plain,US06,0,25.0,3,5060,1138.6631699999998,True,1902.080610000001
T6_plain,US06,0,25.0,4,5502,789.69499,True,1458.7304299999996
T6_plain,US06,0,30.0,0,797,3739.668450000002,True,6224.194320000002
T6_plain,US06,0,30.0,1,2244,2463.29248,True,4771.990850000002
T6_plain,US06,0,30.0,2,3152,1968.867839999999,True,3861.4591900000014
T6_plain,US06,0,30.0,3,4965,938.6609800000015,True,2042.332730000002
T6_plain,US06,0,30.0,4,5985,695.6024499999985,True,1018.2774800000007
T6_plain,US06,0,40.0,0,897,3611.9051100000033,True,6262.881720000001
