feature,fold,seed,perturbation_type,level,temp,soc_band,mae,rmse,bias
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,0.0,<=35,0.7567516452722218,1.0260722932448643,0.6116818775624918
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,0.0,>65,0.6014629548617328,0.7317128350018836,0.47999101671021427
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,10.0,35-65,0.9033810850616633,1.1674586097785884,0.5319811796412696
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,10.0,<=35,0.5965252719579727,0.7829503191717071,0.4923010451326515
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,10.0,>65,0.5901398978150354,0.7357093300230662,0.44753787890761254
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,20.0,35-65,0.5579788974835943,0.7621789600161635,0.12697504730908865
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,20.0,<=35,0.3556648370329437,0.5039397626765518,0.07183162795061264
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,20.0,>65,0.4724558473902868,0.6057763869389063,0.33157062303931156
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,25.0,35-65,0.6205327446046712,0.7966728547999161,0.09715299973062284
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,25.0,<=35,0.4112295185301311,0.5213567871129344,0.16037469288340364
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,25.0,>65,0.5095686898590425,0.6499451677258237,0.32972625013363205
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,30.0,35-65,0.6046882659693233,0.8032604047017253,-0.411187825257679
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,30.0,<=35,0.5042886205241165,0.615726917354531,-0.32249630036306254
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,30.0,>65,0.5250730438400587,0.6478699974773645,-0.021413952076798144
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,40.0,35-65,0.6566481529795513,0.8043865961457459,-0.4975030865352462
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,40.0,<=35,0.48094195316320093,0.599935412991331,-0.33588638618845906
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,40.0,>65,0.5847685236631035,0.7163078284581484,0.13807057718853125
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,50.0,35-65,0.9327959018690676,1.1365137330654853,-0.8838399168564145
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,50.0,<=35,0.7082939431599851,0.8843996942599537,-0.6314568668027931
T6_plain,FUDS,2,voltage_noise,V_sigma_10_mV,50.0,>65,0.6727545384209885,0.8230489233549894,-0.07197735975382433
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,-10.0,35-65,2.5841625202281504,2.9646193540843995,2.0936129605872704
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,-10.0,<=35,1.3421072063244528,1.6836475498139316,0.9604836981878412
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,-10.0,>65,0.8920687216603549,1.0314197646383299,0.8133006837031823
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,0.0,35-65,1.2503216217278108,1.6639999008391453,0.7757929366540675
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,0.0,<=35,0.7613996095018383,1.0302808940234,0.6232079735509102
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,0.0,>65,0.5239264912483873,0.6463354378831412,0.37631822729458914
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,10.0,35-65,0.8837918320458374,1.1447602163896762,0.5166238204017153
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,10.0,<=35,0.598377852246437,0.7835121564348831,0.4927834276293122
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,10.0,>65,0.5197821987382387,0.6467251620321605,0.45025729071335124
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,20.0,35-65,0.573852169342321,0.7788344467184668,0.08609418296931282
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,20.0,<=35,0.3482396207393557,0.5066070890526624,0.12647604609576976
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,20.0,>65,0.43307344491127586,0.5456464710128404,0.24977314859353997
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,25.0,35-65,0.579631154840995,0.7738125494992819,0.09296440828774964
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,25.0,<=35,0.3981724765248657,0.512216315249098,0.18011989448148513
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,25.0,>65,0.5021443296856923,0.627975579825568,0.30790092708737665
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,30.0,35-65,0.6237381932868836,0.7926385001885786,-0.4705101804222944
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,30.0,<=35,0.4708535399620076,0.5737005605361767,-0.29920045434159104
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,30.0,>65,0.5157385059240042,0.6330455975955598,0.022440462973347154
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,40.0,35-65,0.5985886194642476,0.7547985751404179,-0.4124929584787964
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,40.0,<=35,0.47491754770587064,0.5895992044854506,-0.31168448331328996
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,40.0,>65,0.5691656697635747,0.6860165118331728,0.003305367200522321
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,50.0,35-65,0.8553734092253673,1.0529361560566455,-0.789779339742333
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,50.0,<=35,0.6700800977329878,0.8426706888907107,-0.6046120844453596
T6_plain,FUDS,2,voltage_noise,V_sigma_1_mV,50.0,>65,0.6412413397188126,0.7755619119708809,-0.08049758555403086
T6_plain,FUDS,2,voltage_noise,V_sigma_2_mV,-10.0,35-65,2.5821430002915053,2.963250087600566,2.0915894916647457
T6_plain,FUDS,2,voltage_noise,V_sigma_2_mV,-10.0,<=35,1.3389731050498903,1.6795686225578896,0.9522872197406973
T6_plain,FUDS,2,voltage_noise,V_sigma_2_mV,-10.0,>65,0.8706224767985541,1.0080028991432457,0.7865082198860484
T6_plain,FUDS,2,voltage_noise,V_sigma_2_mV,0.0,35-65,1.2506527884557124,1.6646721372305264,0.7779382393670755
T6_plain,FUDS,2,voltage_noise,V_sigma_2_mV,0.0,<=35,0.7622846216687122,1.0321277199440213,0.6230459973457455
T6_plain,FUDS,2,voltage_noise,V_sigma_2_mV,0.0,>65,0.5382266726688628,0.6628262664957024,0.39925488933275644
T6_plain,FUDS,2,voltage_noise,V_sigma_2_mV,10.0,35-65,0.8897113891026047,1.1453182035324359,0.5394193121380654
T6_plain,FUDS,2,voltage_noise,V_sigma_2_mV,10.0,<=35,0.5897754555293483,0.7756647662924949,0.48199649767226516
